nom_cle_comparaison_2019,nom_cle_comparaison_2026,nom_affiche_2019,nom_affiche_2026,provinces_2019,provinces_2026,listes_2019,listes_2026,methode_correspondance,confiance_correspondance,nb_tokens_communs,dice_tokens,jw_distance,tokens_nom_famille_communs,tokens_prenoms_communs,annee.x,nom_prenoms_2019,province_2019,numero_liste_2019,liste_id_2019,liste_nom_court_2019,camp_institutionnel_2019,famille_politique_2019,composante_politique_candidat_2019,axe_politique_2019,axe_politique_ordre_2019,rang_2019,tokens_nom_famille_2019,tokens_prenoms_2019,annee.y,nom_prenoms_2026,province_2026,numero_liste_2026,liste_id_2026,liste_nom_court_2026,camp_institutionnel_2026,famille_politique_2026,composante_politique_candidat_2026,axe_politique_2026,axe_politique_ordre_2026,rang_2026,tokens_nom_famille_2026,tokens_prenoms_2026,meme_province,meme_liste_court,meme_camp,meme_axe_politique
EURISOUKE IRENE VALENTINE,EURISOUKE VALENTINE,"Valentine, Irène EURISOUKE",EURISOUKE Valentine,Province Nord,Province Nord,Province Nord - 01 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),Province Nord - 05 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),tokens_haute_confiance,haute,2,0.8,0.08484210526315791,EURISOUKE,VALENTINE,2019,"Valentine, Irène EURISOUKE",Province Nord,1,2019_Province Nord_01,UNI,Independantiste / souverainiste,UNI / Palika,UNI / Palika,Independantiste UNI / Palika,2,4,EURISOUKE,VALENTINE|IRENE,2026,EURISOUKE Valentine,Province Nord,5,2026_Province Nord_05,UNI,Independantiste / souverainiste,UNI / Palika-UPM-UNID,UNI / Palika-UPM-UNID,Independantiste UNI / Palika,2,2,EURISOUKE,VALENTINE,TRUE,TRUE,TRUE,TRUE
APANGOU GOROMIDO JOSEPH,GOROMIDO JOSEPH,"Joseph,Apangou GOROMIDO",GOROMIDO Joseph,Province Nord,Province Nord,Province Nord - 01 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),Province Nord - 05 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),tokens_haute_confiance,haute,2,0.8,0.20483091787439625,GOROMIDO,JOSEPH,2019,"Joseph,Apangou GOROMIDO",Province Nord,1,2019_Province Nord_01,UNI,Independantiste / souverainiste,UNI / Palika,UNI / Palika,Independantiste UNI / Palika,2,5,GOROMIDO,JOSEPH|APANGOU,2026,GOROMIDO Joseph,Province Nord,5,2026_Province Nord_05,UNI,Independantiste / souverainiste,UNI / Palika-UPM-UNID,UNI / Palika-UPM-UNID,Independantiste UNI / Palika,2,3,GOROMIDO,JOSEPH,TRUE,TRUE,TRUE,TRUE
JESSICA TEIN,JESSICA TEIN WENENINA,Jessica TEIN,TEIN ép. WENENINA Jessica,Province Nord,Province Nord,Province Nord - 01 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),Province Nord - 05 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),tokens_haute_confiance,haute,2,0.8,0.0857142857142858,TEIN,JESSICA,2019,Jessica TEIN,Province Nord,1,2019_Province Nord_01,UNI,Independantiste / souverainiste,UNI / Palika,UNI / Palika,Independantiste UNI / Palika,2,12,TEIN,JESSICA,2026,TEIN ép. WENENINA Jessica,Province Nord,5,2026_Province Nord_05,UNI,Independantiste / souverainiste,UNI / Palika-UPM-UNID,UNI / Palika-UPM-UNID,Independantiste UNI / Palika,2,22,TEIN|WENENINA,JESSICA,TRUE,TRUE,TRUE,TRUE
DIALLA DORIANE POYMEGNA,DORIANE POYMEGNA,"Doriane, Dialla POYMEGNA",POYMEGNA Doriane,Province Nord,Province Nord,Province Nord - 01 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),Province Nord - 05 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),tokens_haute_confiance,haute,2,0.8,0.23192934782608696,POYMEGNA,DORIANE,2019,"Doriane, Dialla POYMEGNA",Province Nord,1,2019_Province Nord_01,UNI,Independantiste / souverainiste,UNI / Palika,UNI / Palika,Independantiste UNI / Palika,2,14,POYMEGNA,DORIANE|DIALLA,2026,POYMEGNA Doriane,Province Nord,5,2026_Province Nord_05,UNI,Independantiste / souverainiste,UNI / Palika-UPM-UNID,UNI / Palika-UPM-UNID,Independantiste UNI / Palika,2,6,POYMEGNA,DORIANE,TRUE,TRUE,TRUE,TRUE
ANAISE MEANDU POVEU SOPHIE,ANAISE MEANDU POVEU,"Anaise, Sophie MEANDU-POVEU",MEANDU-POVEU Anaise,Province Nord,Province Nord,Province Nord - 01 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),Province Nord - 05 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),tokens_haute_confiance,haute,3,0.8571428571428571,0.05384615384615385,MEANDU|POVEU,ANAISE,2019,"Anaise, Sophie MEANDU-POVEU",Province Nord,1,2019_Province Nord_01,UNI,Independantiste / souverainiste,UNI / Palika,UNI / Palika,Independantiste UNI / Palika,2,18,MEANDU|POVEU,ANAISE|SOPHIE,2026,MEANDU-POVEU Anaise,Province Nord,5,2026_Province Nord_05,UNI,Independantiste / souverainiste,UNI / Palika-UPM-UNID,UNI / Palika-UPM-UNID,Independantiste UNI / Palika,2,20,MEANDU|POVEU,ANAISE,TRUE,TRUE,TRUE,TRUE
CARYL NORMANDON,CARYL EDOUARD NORMANDON,Caryl NORMANDON,À NORMANDON Caryl Edouard,Province Nord,Province Nord,Province Nord - 02 - AGISSONS POUR LE NORD,Province Nord - 01 - AGISSONS ENSEMBLE POUR LE NORD,tokens_haute_confiance,haute,2,0.8,0.11623188405797102,NORMANDON,CARYL,2019,Caryl NORMANDON,Province Nord,2,2019_Province Nord_02,Agissons pour le Nord,Non-independantiste / loyaliste,Agissons / loyaliste,Agissons / loyaliste,Loyaliste droite,6,5,NORMANDON,CARYL,2026,À NORMANDON Caryl Edouard,Province Nord,1,2026_Province Nord_01,Agissons ensemble pour le Nord,Non-independantiste / loyaliste,Rassemblement-LR + Les Loyalistes,Loyalistes / Rassemblement - candidat non rattache par groupe actuel,Loyaliste droite,6,4,NORMANDON,CARYL|EDOUARD,TRUE,FALSE,TRUE,TRUE
PATRICE VIASSONE,MARIE PATRICE VIASSONE,Patrice VIASSONE,"VIASSONE Patrice, Marie",Province Nord,Province Nord,Province Nord - 02 - AGISSONS POUR LE NORD,Province Nord - 01 - AGISSONS ENSEMBLE POUR LE NORD,tokens_haute_confiance,haute,2,0.8,0.24715909090909083,VIASSONE,PATRICE,2019,Patrice VIASSONE,Province Nord,2,2019_Province Nord_02,Agissons pour le Nord,Non-independantiste / loyaliste,Agissons / loyaliste,Agissons / loyaliste,Loyaliste droite,6,7,VIASSONE,PATRICE,2026,"VIASSONE Patrice, Marie",Province Nord,1,2026_Province Nord_01,Agissons ensemble pour le Nord,Non-independantiste / loyaliste,Rassemblement-LR + Les Loyalistes,Loyalistes / Rassemblement - candidat non rattache par groupe actuel,Loyaliste droite,6,16,VIASSONE,PATRICE|MARIE,TRUE,FALSE,TRUE,TRUE
GILLES NAHIET,FANGIO GILLES NAHIET,Gilles NAHIET,NAHIET Gilles Fangio,Province Nord,Province Nord,Province Nord - 04 - PARTI TRAVAILLISTE « OSONS LE CHANGEMENT »,Province Nord - 02 - ALTERNATIVE NORD POUR UN PAYS SOUVERAIN,tokens_haute_confiance,haute,2,0.8,0.25769230769230766,NAHIET,GILLES,2019,Gilles NAHIET,Province Nord,4,2019_Province Nord_04,Parti travailliste,Independantiste / souverainiste,Parti travailliste,Parti travailliste,Independantiste FLNKS / gauche,1,3,NAHIET,GILLES,2026,NAHIET Gilles Fangio,Province Nord,2,2026_Province Nord_02,Alternative Nord pour un pays souverain,Independantiste / souverainiste,UPK / DUS / Parti travailliste,UPK / DUS / Parti travailliste,Independantiste FLNKS / gauche,1,23,NAHIET,GILLES|FANGIO,TRUE,FALSE,TRUE,TRUE
FAGANE JOELLE MARIE PIDJO WALOUA,FAGANE JOELLE MARIE PIDJO,Marie Joëlle Fagane PIDJO ép WALOUA,PIDJO Marie-Joëlle Fagane,Province Nord,Province Nord,Province Nord - 04 - PARTI TRAVAILLISTE « OSONS LE CHANGEMENT »,Province Nord - 02 - ALTERNATIVE NORD POUR UN PAYS SOUVERAIN,tokens_haute_confiance,haute,4,0.8888888888888888,0.04375000000000004,PIDJO,MARIE|JOELLE|FAGANE,2019,Marie Joëlle Fagane PIDJO ép WALOUA,Province Nord,4,2019_Province Nord_04,Parti travailliste,Independantiste / souverainiste,Parti travailliste,Parti travailliste,Independantiste FLNKS / gauche,1,8,PIDJO|WALOUA,MARIE|JOELLE|FAGANE,2026,PIDJO Marie-Joëlle Fagane,Province Nord,2,2026_Province Nord_02,Alternative Nord pour un pays souverain,Independantiste / souverainiste,UPK / DUS / Parti travailliste,UPK / DUS / Parti travailliste,Independantiste FLNKS / gauche,1,6,PIDJO,MARIE|JOELLE|FAGANE,TRUE,FALSE,TRUE,TRUE
CLAUDE JEAN NAPERAVOIN TENDI,CLAUDE JEAN NAPERAVOIN,Jean-Claude Tendi NAPERAVOIN,NAPERAVOIN Jean Claude,Province Nord,Province Nord,Province Nord - 06 - UC-FLNKS,Province Nord - 03 - UC FLNKS,tokens_haute_confiance,haute,3,0.8571428571428571,0.0428571428571429,NAPERAVOIN,JEAN|CLAUDE,2019,Jean-Claude Tendi NAPERAVOIN,Province Nord,6,2019_Province Nord_06,UC-FLNKS,Independantiste / souverainiste,UC-FLNKS,UC-FLNKS,Independantiste FLNKS / gauche,1,21,NAPERAVOIN,JEAN|CLAUDE|TENDI,2026,NAPERAVOIN Jean Claude,Province Nord,3,2026_Province Nord_03,UC-FLNKS,Independantiste / souverainiste,UC-FLNKS,UC-FLNKS,Independantiste FLNKS / gauche,1,27,NAPERAVOIN,JEAN|CLAUDE,TRUE,TRUE,TRUE,TRUE
EUGENE VAMA,EUGENE KARL VAMA,Eugène VAMA,VAMA Eugène Karl,Province Sud,Province Sud,Province Sud - 01 - MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),Province Sud - 06 - SOUVERAINETE KANAKY NOUVELLE-CALEDONIE,tokens_haute_confiance,haute,2,0.8,0.09886363636363638,VAMA,EUGENE,2019,Eugène VAMA,Province Sud,1,2019_Province Sud_01,MNIS Sud,Souverainiste / pro-pays transversal,Neo-independantiste / souverainiste,Neo-independantiste / souverainiste,Souverainiste / pro-pays,3,23,VAMA,EUGENE,2026,VAMA Eugène Karl,Province Sud,6,2026_Province Sud_06,Souverainete Kanaky NC,Independantiste / souverainiste,Souverainete Kanaky NC,Souverainete Kanaky NC,Independantiste FLNKS / gauche,1,3,VAMA,EUGENE|KARL,TRUE,FALSE,FALSE,FALSE
JENNIFER PREVEL,JENNIFER PREVEL SARAH,Jennifer PREVEL,"PREVEL Jennifer, Sarah",Province Sud,Province Sud,Province Sud - 02 - RASSEMBLEMENT NATIONAL,Province Sud - 08 - POUR UNE CALEDONIE FRANCAISE,tokens_haute_confiance,haute,2,0.8,0.05714285714285713,PREVEL,JENNIFER,2019,Jennifer PREVEL,Province Sud,2,2019_Province Sud_02,Rassemblement national,Non-independantiste / droite nationale,Rassemblement national / droite nationale,Rassemblement national / droite nationale,Droite nationale anti-independantiste,7,14,PREVEL,JENNIFER,2026,"PREVEL Jennifer, Sarah",Province Sud,8,2026_Province Sud_08,Pour une Caledonie francaise,Non-independantiste / droite nationale,Voix du Caillou / Rassemblement national diss.,Voix du Caillou / Rassemblement national diss.,Droite nationale anti-independantiste,7,4,PREVEL,JENNIFER|SARAH,TRUE,FALSE,TRUE,TRUE
BRIEUC FROGIER,BRIEUC FROGIER NAHEA,Brieuc FROGIER,FROGIER Brieuc Nahea,Province Sud,Province Sud,Province Sud - 03 - L’AVENIR EN CONFIANCE,Province Sud - 10 - LES LOYALISTES ET LE RASSEMBLEMENT-FORTS ET UNIS,tokens_haute_confiance,haute,2,0.8,0.05999999999999998,FROGIER,BRIEUC,2019,Brieuc FROGIER,Province Sud,3,2019_Province Sud_03,L'Avenir en confiance,Non-independantiste / loyaliste,Loyaliste droite,Loyaliste droite,Loyaliste droite,6,12,FROGIER,BRIEUC,2026,FROGIER Brieuc Nahea,Province Sud,10,2026_Province Sud_10,Les Loyalistes et Le Rassemblement,Non-independantiste / loyaliste,Les Loyalistes + Rassemblement-LR,Loyalistes / Rassemblement - candidat non rattache par groupe actuel,Loyaliste droite,6,14,FROGIER,BRIEUC|NAHEA,TRUE,FALSE,TRUE,TRUE
LIONEL PAAGALUA,CLAUDE LIONEL PAAGALUA,Lionel PAAGALUA,PAAGALUA Lionel Claude,Province Sud,Province Sud,Province Sud - 03 - L’AVENIR EN CONFIANCE,Province Sud - 10 - LES LOYALISTES ET LE RASSEMBLEMENT-FORTS ET UNIS,tokens_haute_confiance,haute,2,0.8,0.2282828282828284,PAAGALUA,LIONEL,2019,Lionel PAAGALUA,Province Sud,3,2019_Province Sud_03,L'Avenir en confiance,Non-independantiste / loyaliste,Loyaliste droite,Loyaliste droite,Loyaliste droite,6,22,PAAGALUA,LIONEL,2026,PAAGALUA Lionel Claude,Province Sud,10,2026_Province Sud_10,Les Loyalistes et Le Rassemblement,Non-independantiste / loyaliste,Les Loyalistes + Rassemblement-LR,Loyalistes / Rassemblement - candidat non rattache par groupe actuel,Loyaliste droite,6,6,PAAGALUA,LIONEL|CLAUDE,TRUE,FALSE,TRUE,TRUE
MAIAU SEFA SUZANNE,MAIAU SUZANNE,Suzanne MAIAU-SEFA,MAIAU Suzanne,Province Sud,Province Sud,Province Sud - 03 - L’AVENIR EN CONFIANCE,Province Sud - 08 - POUR UNE CALEDONIE FRANCAISE,tokens_haute_confiance,haute,2,0.8,0.09401709401709406,MAIAU,SUZANNE,2019,Suzanne MAIAU-SEFA,Province Sud,3,2019_Province Sud_03,L'Avenir en confiance,Non-independantiste / loyaliste,Loyaliste droite,Loyaliste droite,Loyaliste droite,6,25,MAIAU|SEFA,SUZANNE,2026,MAIAU Suzanne,Province Sud,8,2026_Province Sud_08,Pour une Caledonie francaise,Non-independantiste / droite nationale,Voix du Caillou / Rassemblement national diss.,Voix du Caillou / Rassemblement national diss.,Droite nationale anti-independantiste,7,10,MAIAU,SUZANNE,TRUE,FALSE,FALSE,FALSE
ISABELLA LUTOVIKA MARIA SALIGA,ISABELLA MARIA SALIGA,Maria Isabella LUTOVIKA née SALIGA,SALIGA Maria Isabella,Province Sud,Province Sud,Province Sud - 06 - L’EVEIL OCEANIEN,Province Sud - 04 - ALLIANCE PACIFIK ENRACINEE,tokens_haute_confiance,haute,3,0.8571428571428571,0.1171428571428572,SALIGA,MARIA|ISABELLA,2019,Maria Isabella LUTOVIKA née SALIGA,Province Sud,6,2019_Province Sud_06,L'Eveil oceanien,Oceanien / transversal,Eveil oceanien / oceanien,Eveil oceanien / oceanien,Oceanien / transversal,4,4,LUTOVIKA|SALIGA,MARIA|ISABELLA,2026,SALIGA Maria Isabella,Province Sud,4,2026_Province Sud_04,Alliance Pacifik enracinee,Oceanien / transversal,Alliance Pacifik / oceanien-local,Alliance Pacifik / oceanien-local,Oceanien / transversal,4,1,SALIGA,MARIA|ISABELLA,TRUE,FALSE,TRUE,TRUE
ANTOINETTE ITHUPANE TIEOUE,ITHUPANE TIEOUE,"Ithupane, Antoinette TIEOUE",TIEOUE Ithupane,Province Sud,Province Sud,Province Sud - 07 - FLNKS,Province Sud - 11 - UNIS POUR LE PAYS,tokens_haute_confiance,haute,2,0.8,0.28547008547008557,TIEOUE,ITHUPANE,2019,"Ithupane, Antoinette TIEOUE",Province Sud,7,2019_Province Sud_07,FLNKS,Independantiste / souverainiste,Independantiste / pro-pays,Independantiste / pro-pays,Independantiste FLNKS / gauche,1,2,TIEOUE,ITHUPANE|ANTOINETTE,2026,TIEOUE Ithupane,Province Sud,11,2026_Province Sud_11,Unis pour le Pays,Independantiste / souverainiste,UNI / Palika-UPM-UNID,UNI / Palika-UPM-UNID,Independantiste UNI / Palika,2,28,TIEOUE,ITHUPANE,TRUE,FALSE,TRUE,FALSE
AUCHER RACHELLE,AUCHER HONAKOKO RACHELLE,Rachelle AUCHER,HONAKOKO ép. AUCHER Rachelle,Province Sud,Province Sud,Province Sud - 07 - FLNKS,Province Sud - 02 - KANAKY POUR TOUS,tokens_haute_confiance,haute,2,0.8,0.09500000000000006,AUCHER,RACHELLE,2019,Rachelle AUCHER,Province Sud,7,2019_Province Sud_07,FLNKS,Independantiste / souverainiste,Independantiste / pro-pays,Independantiste / pro-pays,Independantiste FLNKS / gauche,1,12,AUCHER,RACHELLE,2026,HONAKOKO ép. AUCHER Rachelle,Province Sud,2,2026_Province Sud_02,Kanaky pour tous,Independantiste / souverainiste,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,Independantiste FLNKS / gauche,1,16,HONAKOKO|AUCHER,RACHELLE,TRUE,FALSE,TRUE,TRUE
DIDINE HOMOU LOUIS PIDJOT,HOMOU LOUIS PIDJOT,"Louis, Pidjot, Didine HOMOU",HOMOU Louis Pidjot,Province Sud,Province Sud,Province Sud - 07 - FLNKS,Province Sud - 02 - KANAKY POUR TOUS,tokens_haute_confiance,haute,3,0.8571428571428571,0.22296296296296292,HOMOU,LOUIS|PIDJOT,2019,"Louis, Pidjot, Didine HOMOU",Province Sud,7,2019_Province Sud_07,FLNKS,Independantiste / souverainiste,Independantiste / pro-pays,Independantiste / pro-pays,Independantiste FLNKS / gauche,1,43,HOMOU,LOUIS|PIDJOT|DIDINE,2026,HOMOU Louis Pidjot,Province Sud,2,2026_Province Sud_02,Kanaky pour tous,Independantiste / souverainiste,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,Independantiste FLNKS / gauche,1,37,HOMOU,LOUIS|PIDJOT,TRUE,FALSE,TRUE,TRUE
MACCAM PIERRE,CHRISTIAN MACCAM PIERRE,Pierre MACCAM,MACCAM Pierre Christian,Province Sud,Province Sud,Province Sud - 08 - ALLIANCE CITOYENNE POUR LA TRANSITION. CONSTRUIRE NOTRE PAYS EN MELANESIE - (ACT),Province Sud - 06 - SOUVERAINETE KANAKY NOUVELLE-CALEDONIE,tokens_haute_confiance,haute,2,0.8,0.27313266443701234,MACCAM,PIERRE,2019,Pierre MACCAM,Province Sud,8,2019_Province Sud_08,Alliance citoyenne pour la transition,A preciser,Divers / a preciser,Divers / a preciser,A preciser,8,16,MACCAM,PIERRE,2026,MACCAM Pierre Christian,Province Sud,6,2026_Province Sud_06,Souverainete Kanaky NC,Independantiste / souverainiste,Souverainete Kanaky NC,Souverainete Kanaky NC,Independantiste FLNKS / gauche,1,31,MACCAM,PIERRE|CHRISTIAN,TRUE,FALSE,FALSE,FALSE
EMMANUEL HERNU,EMMANUEL HERNU JACQUES,Emmanuel HERNU,HERNU Emmanuel Jacques,Province Sud,Province Sud,Province Sud - 08 - ALLIANCE CITOYENNE POUR LA TRANSITION. CONSTRUIRE NOTRE PAYS EN MELANESIE - (ACT),Province Sud - 06 - SOUVERAINETE KANAKY NOUVELLE-CALEDONIE,tokens_haute_confiance,haute,2,0.8,0.0727272727272728,HERNU,EMMANUEL,2019,Emmanuel HERNU,Province Sud,8,2019_Province Sud_08,Alliance citoyenne pour la transition,A preciser,Divers / a preciser,Divers / a preciser,A preciser,8,18,HERNU,EMMANUEL,2026,HERNU Emmanuel Jacques,Province Sud,6,2026_Province Sud_06,Souverainete Kanaky NC,Independantiste / souverainiste,Souverainete Kanaky NC,Souverainete Kanaky NC,Independantiste FLNKS / gauche,1,11,HERNU,EMMANUEL|JACQUES,TRUE,FALSE,FALSE,FALSE
ATINOUA PATRICE,ATINOUA MARTIAL PATRICE,Patrice ATINOUA,"ATINOUA PATRICE, MARTIAL",Province Sud,Province Sud,Province Sud - 10 - DESTIN COMMUN CALEDONIEN,Province Sud - 07 - FAIRE PAYS,tokens_haute_confiance,haute,2,0.8,0.09623188405797108,ATINOUA,PATRICE,2019,Patrice ATINOUA,Province Sud,10,2019_Province Sud_10,Destin commun caledonien,A preciser,Divers / a preciser,Divers / a preciser,A preciser,8,25,ATINOUA,PATRICE,2026,"ATINOUA PATRICE, MARTIAL",Province Sud,7,2026_Province Sud_07,Faire Pays,Souverainiste / pro-pays transversal,Faire Pays / MNIS,Faire Pays / MNIS,Souverainiste / pro-pays,3,23,ATINOUA,PATRICE|MARTIAL,TRUE,FALSE,FALSE,FALSE
ANNIE QAEZE,ANNIE JINEZI QAEZE,Annie QAEZE,QAEZE Jinézi Annie,Province Sud,Province Sud,"Province Sud - 11 - CALEDONIENS ENSEMBLE, POUR UN AVENIR DU PAYS DANS LA PAIX, AUX COULEURS DE LA FRANCE","Province Sud - 05 - UNE PROVINCE POUR TOUS, UN PAYS SOLIDAIRE UN AVENIR",tokens_haute_confiance,haute,2,0.8,0.11414141414141411,QAEZE,ANNIE,2019,Annie QAEZE,Province Sud,11,2019_Province Sud_11,Caledoniens Ensemble,Non-independantiste / autonomiste modere,Caledonie Ensemble / centre non-independantiste,Caledonie Ensemble / centre non-independantiste,Centre non-independantiste,5,2,QAEZE,ANNIE,2026,QAEZE Jinézi Annie,Province Sud,5,2026_Province Sud_05,Une Province pour tous,Non-independantiste / autonomiste modere,Caledonie Ensemble / Rassemblement-LR diss.,Caledonie Ensemble / Rassemblement-LR diss.,Centre non-independantiste,5,6,QAEZE,JINEZI|ANNIE,TRUE,FALSE,TRUE,TRUE
BEARUNE ISABELLE KALOI,BEARUNE ISABELLE,Isabelle KALOI - BEARUNE,BEARUNE Isabelle,Province des Iles,Province des Iles,Province des Iles - 02 - UC - FLNKS,Province des Iles - 05 - UC FLNKS ILES,tokens_haute_confiance,haute,2,0.8,0.05454545454545449,BEARUNE,ISABELLE,2019,Isabelle KALOI - BEARUNE,Province des Iles,2,2019_Province des Iles_02,UC-FLNKS,Independantiste / souverainiste,UC-FLNKS,UC-FLNKS,Independantiste FLNKS / gauche,1,2,KALOI|BEARUNE,ISABELLE,2026,BEARUNE Isabelle,Province des Iles,5,2026_Province des Iles_05,UC-FLNKS Iles,Independantiste / souverainiste,UC-FLNKS,UC-FLNKS,Independantiste FLNKS / gauche,1,4,BEARUNE,ISABELLE,TRUE,FALSE,TRUE,TRUE
HUE REINE VENDEGOU,REINE VENDEGOU,Reine VENDEGOU - HUE,VENDEGOU Reine,Province des Iles,Province des Iles,Province des Iles - 02 - UC - FLNKS,Province des Iles - 05 - UC FLNKS ILES,tokens_haute_confiance,haute,2,0.8,0.2050264550264551,VENDEGOU,REINE,2019,Reine VENDEGOU - HUE,Province des Iles,2,2019_Province des Iles_02,UC-FLNKS,Independantiste / souverainiste,UC-FLNKS,UC-FLNKS,Independantiste FLNKS / gauche,1,4,VENDEGOU|HUE,REINE,2026,VENDEGOU Reine,Province des Iles,5,2026_Province des Iles_05,UC-FLNKS Iles,Independantiste / souverainiste,UC-FLNKS,UC-FLNKS,Independantiste FLNKS / gauche,1,8,VENDEGOU,REINE,TRUE,FALSE,TRUE,TRUE
FORREST MICKAEL,FORREST JOSEPH MICKAEL,Mickaël FORREST,FORREST Mickael Joseph,Province des Iles,Province des Iles,Province des Iles - 02 - UC - FLNKS,Province des Iles - 05 - UC FLNKS ILES,tokens_haute_confiance,haute,2,0.8,0.10363636363636372,FORREST,MICKAEL,2019,Mickaël FORREST,Province des Iles,2,2019_Province des Iles_02,UC-FLNKS,Independantiste / souverainiste,UC-FLNKS,UC-FLNKS,Independantiste FLNKS / gauche,1,19,FORREST,MICKAEL,2026,FORREST Mickael Joseph,Province des Iles,5,2026_Province des Iles_05,UC-FLNKS Iles,Independantiste / souverainiste,UC-FLNKS,UC-FLNKS,Independantiste FLNKS / gauche,1,1,FORREST,MICKAEL|JOSEPH,TRUE,FALSE,TRUE,TRUE
ALBERT CILI HNAWEONGO,ALBERT HNAWEONGO,"Albert, Cili HNAWEONGO",HNAWEONGO Albert,Province des Iles,Province des Iles,Province des Iles - 04 - AVEC NOUS,Province des Iles - 02 - UN NOUVEAU SOUFFLE,tokens_haute_confiance,haute,2,0.8,0.04761904761904765,HNAWEONGO,ALBERT,2019,"Albert, Cili HNAWEONGO",Province des Iles,4,2019_Province des Iles_04,Avec nous,A preciser,Divers / a preciser,Divers / a preciser,A preciser,8,15,HNAWEONGO,ALBERT|CILI,2026,HNAWEONGO Albert,Province des Iles,2,2026_Province des Iles_02,Un nouveau souffle,Non-independantiste / loyaliste,Rassemblement-LR + Les Loyalistes,Loyalistes / Rassemblement - candidat non rattache par groupe actuel,Loyaliste droite,6,5,HNAWEONGO,ALBERT,TRUE,FALSE,FALSE,FALSE
CHARLES KICONE WASSAUMI,CHARLES WASSAUMI,"Charles, Kicone WASSAUMI",WASSAUMI Charles,Province des Iles,Province des Iles,Province des Iles - 04 - AVEC NOUS,Province des Iles - 06 - S'ENGAGER ET OEUVRER POUR LA PROSPERITE DE NOTRE,tokens_haute_confiance,haute,2,0.8,0.10461956521739137,WASSAUMI,CHARLES,2019,"Charles, Kicone WASSAUMI",Province des Iles,4,2019_Province des Iles_04,Avec nous,A preciser,Divers / a preciser,Divers / a preciser,A preciser,8,17,WASSAUMI,CHARLES|KICONE,2026,WASSAUMI Charles,Province des Iles,6,2026_Province des Iles_06,S'engager et oeuvrer,Independantiste / souverainiste,UPK,UPK,Independantiste FLNKS / gauche,1,11,WASSAUMI,CHARLES,TRUE,FALSE,FALSE,FALSE
BASILE CITRE,BASILE CICI CITRE,Basile CITRE,"CITRE Basile, Cici",Province des Iles,Province des Iles,Province des Iles - 05 - DYNAMIQUE AUTOCHTONE,Province des Iles - 04 - NATION AUTOCHTONE,tokens_haute_confiance,haute,2,0.8,0.05882352941176469,CITRE,BASILE,2019,Basile CITRE,Province des Iles,5,2019_Province des Iles_05,Dynamique autochtone,Independantiste / souverainiste,Autochtone / oceanien / local,Autochtone / oceanien / local,Independantiste FLNKS / gauche,1,2,CITRE,BASILE,2026,"CITRE Basile, Cici",Province des Iles,4,2026_Province des Iles_04,Nation autochtone,Independantiste / souverainiste,Dynamique autochtone,Dynamique autochtone,Independantiste FLNKS / gauche,1,2,CITRE,BASILE|CICI,TRUE,FALSE,TRUE,TRUE
GUAENERE JEANNINE WAHEA,JEANNINE WAHEA,Jeannine WAHEA née GUAENERE,WAHEA Jeannine”,Province des Iles,Province des Iles,Province des Iles - 05 - DYNAMIQUE AUTOCHTONE,Province des Iles - 04 - NATION AUTOCHTONE,tokens_haute_confiance,haute,2,0.8,0.28519668737060044,WAHEA,JEANNINE,2019,Jeannine WAHEA née GUAENERE,Province des Iles,5,2019_Province des Iles_05,Dynamique autochtone,Independantiste / souverainiste,Autochtone / oceanien / local,Autochtone / oceanien / local,Independantiste FLNKS / gauche,1,3,WAHEA|GUAENERE,JEANNINE,2026,WAHEA Jeannine”,Province des Iles,4,2026_Province des Iles_04,Nation autochtone,Independantiste / souverainiste,Dynamique autochtone,Dynamique autochtone,Independantiste FLNKS / gauche,1,7,WAHEA,JEANNINE,TRUE,FALSE,TRUE,TRUE
