nom_cle_comparaison,nom_affiche_2019,nom_normalise_2019,provinces_2019,listes_2019,rangs_2019,n_apparitions_2019,camps_2019,familles_politiques_2019,composantes_politiques_2019,axes_politiques_2019,qualification_a_verifier_2019,mandat_2019_2019,groupe_congres_2019_initial_2019,groupe_assemblee_province_2019_2019,groupe_congres_2026_actuel_2019,groupe_assemblee_province_2026_actuel_2019,nom_affiche_2026,nom_normalise_2026,provinces_2026,listes_2026,rangs_2026,n_apparitions_2026,camps_2026,familles_politiques_2026,composantes_politiques_2026,axes_politiques_2026,qualification_a_verifier_2026,mandat_2019_2026,groupe_congres_2019_initial_2026,groupe_assemblee_province_2019_2026,groupe_congres_2026_actuel_2026,groupe_assemblee_province_2026_actuel_2026,statut_exact
AMANDINE BUI DUYET TRAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRAN épouse BUI-DUYET Amandine,TRAN BUI DUYET AMANDINE,Province Sud,Province Sud - 10 - Les Loyalistes et Le Rassemblement,Province Sud:09,1,Non-independantiste / loyaliste,Les Loyalistes + Rassemblement-LR,Loyalistes / Rassemblement - candidat non rattache par groupe actuel,Loyaliste droite,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
AMANDINE DARRAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DARRAS Amandine,DARRAS AMANDINE,Province Sud,Province Sud - 02 - Kanaky pour tous,Province Sud:08,1,Independantiste / souverainiste,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
AMIOT STEPHANIE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMIOT STEPHANIE,AMIOT STEPHANIE,Province Sud,Province Sud - 07 - Faire Pays,Province Sud:48,1,Souverainiste / pro-pays transversal,Faire Pays / MNIS,Faire Pays / MNIS,Souverainiste / pro-pays,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
AMOLE JOSEPH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMOLE Joseph,AMOLE JOSEPH,Province Sud,Province Sud - 01 - Un autre monde est possible,Province Sud:50,1,Oceanien / transversal,Eveil oceanien / centre non-independantiste oceanien,Eveil oceanien / centre non-independantiste oceanien,Oceanien / transversal,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
AMOSALA TOMASI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMOSALA Tomasi,AMOSALA TOMASI,Province Sud,Province Sud - 04 - Alliance Pacifik enracinee,Province Sud:26,1,Oceanien / transversal,Alliance Pacifik / oceanien-local,Alliance Pacifik / oceanien-local,Oceanien / transversal,TRUE,NA,NA,NA,NA,NA,nouveau_2026_exact
AMOURA ANNICK NEKIRIAI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NEKIRIAI Annick Amoura,NEKIRIAI ANNICK AMOURA,Province Nord,Province Nord - 02 - Alternative Nord pour un pays souverain,Province Nord:30,1,Independantiste / souverainiste,UPK / DUS / Parti travailliste,UPK / DUS / Parti travailliste,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ANAISE MEANDU POVEU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MEANDU-POVEU Anaise,MEANDU POVEU ANAISE,Province Nord,Province Nord - 05 - UNI,Province Nord:20,1,Independantiste / souverainiste,UNI / Palika-UPM-UNID,UNI / Palika-UPM-UNID,Independantiste UNI / Palika,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ANDRE CATHLEEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ANDRE Cathleen,ANDRE CATHLEEN,Province Sud,Province Sud - 12 - Un espoir pour demain,Province Sud:06,1,Non-independantiste / autonomiste modere,Centre droit non-independantiste / nationalisme caledonien,Centre droit non-independantiste / nationalisme caledonien,Centre non-independantiste,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ANDRE DUQUESNE HERVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DUQUESNE Hervé, André",DUQUESNE HERVE ANDRE,Province Sud,Province Sud - 06 - Souverainete Kanaky NC,Province Sud:39,1,Independantiste / souverainiste,Souverainete Kanaky NC,Souverainete Kanaky NC,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ANDRE LYON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LYON André,LYON ANDRE,Province Sud,Province Sud - 12 - Un espoir pour demain,Province Sud:49,1,Non-independantiste / autonomiste modere,Centre droit non-independantiste / nationalisme caledonien,Centre droit non-independantiste / nationalisme caledonien,Centre non-independantiste,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ANDRE OZIKA ZIKON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OZIKA Zikon André,OZIKA ZIKON ANDRE,Province des Iles,Province des Iles - 06 - S'engager et oeuvrer,Province des Iles:05,1,Independantiste / souverainiste,UPK,UPK,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ANDRE POTHIN SELEFEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SELEFEN Pothin, André",SELEFEN POTHIN ANDRE,Province Sud,Province Sud - 11 - Unis pour le Pays,Province Sud:27,1,Independantiste / souverainiste,UNI / Palika-UPM-UNID,UNI / Palika-UPM-UNID,Independantiste UNI / Palika,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ANDRE WAYENECE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WAYENECE André,WAYENECE ANDRE,Province Nord,Province Nord - 02 - Alternative Nord pour un pays souverain,Province Nord:09,1,Independantiste / souverainiste,UPK / DUS / Parti travailliste,UPK / DUS / Parti travailliste,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ANDREA ERU NEPWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NEPWE-ERU Andrea,NEPWE ERU ANDREA,Province Nord,Province Nord - 04 - Faire Pays,Province Nord:12,1,Souverainiste / pro-pays transversal,Faire Pays / souverainisme en partenariat,Faire Pays / souverainisme en partenariat,Souverainiste / pro-pays,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
