nom_cle_comparaison,nom_normalise_2019,nom_affiche_2019,provinces_2019,listes_2019,rangs_2019,n_apparitions_2019,nom_normalise_2026,nom_affiche_2026,provinces_2026,listes_2026,rangs_2026,n_apparitions_2026,statut_exact
JOSEPHINE MARIE WAIWE WANARO,MARIE JOSEPHINE WAIWE WANARO,Marie-Joséphine WAIWE née WANARO,Province des Iles,Province des Iles - 05 - DYNAMIQUE AUTOCHTONE,Province des Iles:23,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JULES MENREMPON,JULES MENREMPON,Jules MENREMPON,Province Nord,Province Nord - 05 - MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE NORD (MNIS NORD),Province Nord:04,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JULES WELEPA,JULES WELEPA,Jules WELEPA,Province des Iles,Province des Iles - 01 - UNITAIRE KANAKY GENERATION,Province des Iles:03,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JULIA VAISALA,JULIA VAISALA,Julia VAISALA,Province Sud,Province Sud - 06 - L’EVEIL OCEANIEN,Province Sud:16,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JULIETTE MARCELLINE THALE,JULIETTE MARCELLINE THALE,"Juliette, Marcelline THALE",Province Nord,Province Nord - 01 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),Province Nord:16,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
KADRILE KUIESINE WRIGHT,KADRILE KUIESINE WRIGHT,Kadrilé KUIESINE ép WRIGHT,Province des Iles,Province des Iles - 03 - PARTI TRAVAILLISTE,Province des Iles:02,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
KAFIKAILA SOSEFO,SOSEFO KAFIKAILA,Sosefo KAFIKAILA,Province Sud,"Province Sud - 11 - CALEDONIENS ENSEMBLE, POUR UN AVENIR DU PAYS DANS LA PAIX, AUX COULEURS DE LA FRANCE",Province Sud:33,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
KAIKILEKOFE NICOLA TAUTU,NICOLA KAIKILEKOFE TAUTU,Nicola KAIKILEKOFE née TAUTU,Province Sud,Province Sud - 06 - L’EVEIL OCEANIEN,Province Sud:14,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
KALOI NGAIOHNY ROSE,ROSE KALOI NGAIOHNY,Rose KALOI - NGAIOHNY,Province des Iles,Province des Iles - 02 - UC - FLNKS,Province des Iles:22,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
KAMEDROA SAMA VICTOR,VICTOR SAMA KAMEDROA,"Victor, Sama KAMEDROA",Province des Iles,Province des Iles - 06 - NOUVELLE VISION DES ILES,Province des Iles:17,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
