nom_cle_comparaison,nom_normalise_2019,nom_affiche_2019,provinces_2019,listes_2019,rangs_2019,n_apparitions_2019,nom_normalise_2026,nom_affiche_2026,provinces_2026,listes_2026,rangs_2026,n_apparitions_2026,statut_exact
ALICE GUAENERE SAIJIN,ALICE GUAENERE SAIJIN,Alice GUAENERE ép SAIJIN,Province des Iles,Province des Iles - 01 - UNITAIRE KANAKY GENERATION,Province des Iles:24,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ALISON MATHELON,ALISON MATHELON,Alison MATHELON,Province Sud,Province Sud - 03 - L’AVENIR EN CONFIANCE,Province Sud:35,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ALLA WILLIAM,ALLA WILLIAM,Alla WILLIAM,Province Sud,Province Sud - 08 - ALLIANCE CITOYENNE POUR LA TRANSITION. CONSTRUIRE NOTRE PAYS EN MELANESIE - (ACT),Province Sud:11,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ALLAN DARRAS,ALLAN DARRAS,Allan DARRAS,Province Sud,Province Sud - 05 - CALEDONIE NOUVELLE ET REUNIE,Province Sud:25,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ALLONNEAU JACK,JACK ALLONNEAU,Jack ALLONNEAU,Province Sud,Province Sud - 09 - CONSTRUIRE AUTREMENT,Province Sud:43,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ALPHONSE MILIE,ALPHONSE MILIE,Alphonse MILIE,Province des Iles,Province des Iles - 07 - MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE ILES (MNIS ILES),Province des Iles:22,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
AMANDINE DARRAS JULIETTE RENEE,AMANDINE JULIETTE RENEE DARRAS,"Amandine, Juliette, Renée DARRAS",Province Sud,Province Sud - 07 - FLNKS,Province Sud:08,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
AMAR BELKASSEM BEN JEAN LUC,JEAN LUC BELKASSEM BEN AMAR,Jean-Luc BELKASSEM BEN AMAR,Province Sud,Province Sud - 01 - MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),Province Sud:41,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
AMELIA ATUFELE,AMELIA ATUFELE,Amelia ATUFELE,Province Sud,Province Sud - 06 - L’EVEIL OCEANIEN,Province Sud:26,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
AMETO LEA,AMETO LEA,Ameto LEA,Province Sud,Province Sud - 06 - L’EVEIL OCEANIEN,Province Sud:43,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
AMI WAHEO,AMI WAHEO,Ami WAHEO,Province des Iles,Province des Iles - 04 - AVEC NOUS,Province des Iles:23,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
AMOSALA BERNARD,BERNARD AMOSALA,Bernard AMOSALA,Province Sud,Province Sud - 06 - L’EVEIL OCEANIEN,Province Sud:45,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ANAISE MEANDU POVEU SOPHIE,ANAISE SOPHIE MEANDU POVEU,"Anaise, Sophie MEANDU-POVEU",Province Nord,Province Nord - 01 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),Province Nord:18,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ANATASIA FAKAILO TALIMALU,ANATASIA TALIMALU FAKAILO,Anatasia TALIMALU née FAKAILO,Province Sud,Province Sud - 06 - L’EVEIL OCEANIEN,Province Sud:46,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ANATOLIO MULILOTO,ANATOLIO MULILOTO,Anatolio MULILOTO,Province Sud,"Province Sud - 11 - CALEDONIENS ENSEMBLE, POUR UN AVENIR DU PAYS DANS LA PAIX, AUX COULEURS DE LA FRANCE",Province Sud:39,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ANDREA NICOLE SONG,NICOLE ANDREA SONG,Nicole ANDREA-SONG,Province Sud,Province Sud - 03 - L’AVENIR EN CONFIANCE,Province Sud:31,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ANDREANI BERNARD,BERNARD ANDREANI,Bernard ANDREANI,Province Sud,Province Sud - 08 - ALLIANCE CITOYENNE POUR LA TRANSITION. CONSTRUIRE NOTRE PAYS EN MELANESIE - (ACT),Province Sud:50,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ANDREAS STANISIC,ANDREAS STANISIC,Andreas STANISIC,Province Sud,Province Sud - 09 - CONSTRUIRE AUTREMENT,Province Sud:07,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ANDREE GOA MARIE PATRICIA,PATRICIA MARIE ANDREE GOA,"Patricia, Marie-Andrée GOA",Province Nord,Province Nord - 01 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),Province Nord:08,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ANDREE MARLIER MERYL MEZIERES,MERYL ANDREE MEZIERES MARLIER,"Meryl, Andrée MEZIERES ép MARLIER",Province Nord,Province Nord - 01 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),Province Nord:24,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ANDREE STUART,ANDREE STUART,Andrée STUART,Province Sud,Province Sud - 05 - CALEDONIE NOUVELLE ET REUNIE,Province Sud:38,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ANEMATA CAIHE CLAIRE MARIE THOE,MARIE CLAIRE ANEMATA THOE CAIHE,"Marie-Claire, Anemata, Thoe CAIHE",Province des Iles,Province des Iles - 06 - NOUVELLE VISION DES ILES,Province des Iles:08,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ANEX RICHARD,RICHARD ANEX,Richard ANEX,Province Sud,Province Sud - 08 - ALLIANCE CITOYENNE POUR LA TRANSITION. CONSTRUIRE NOTRE PAYS EN MELANESIE - (ACT),Province Sud:42,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ANGE HOMBOE MARIE,MARIE ANGE HOMBOE,Marie-Ange HOMBOE,Province Sud,Province Sud - 09 - CONSTRUIRE AUTREMENT,Province Sud:24,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ANGELA PIERREZ,ANGELA PIERREZ,Angéla PIERREZ,Province Sud,Province Sud - 05 - CALEDONIE NOUVELLE ET REUNIE,Province Sud:34,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ANGELE HERITIER MISSUD,ANGELE MISSUD HERITIER,Angèle MISSUD née HERITIER,Province Sud,Province Sud - 08 - ALLIANCE CITOYENNE POUR LA TRANSITION. CONSTRUIRE NOTRE PAYS EN MELANESIE - (ACT),Province Sud:47,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ANGELE KOTEUREU MARIE,MARIE ANGELE KOTEUREU,Marie-Angèle KOTEUREU,Province Sud,Province Sud - 09 - CONSTRUIRE AUTREMENT,Province Sud:12,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ANGEXETINE ASTRIDE KOITRO MARIE,MARIE ASTRIDE KOITRO ANGEXETINE,"Marie, Astride, Koitro ANGEXETINE",Province des Iles,Province des Iles - 04 - AVEC NOUS,Province des Iles:02,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ANGEXETINE JEAN PAUL,JEAN PAUL ANGEXETINE,Jean-Paul ANGEXETINE,Province Sud,Province Sud - 01 - MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),Province Sud:39,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ANGLEBERMES JEAN LOUIS MARIE PAUL,JEAN LOUIS PAUL MARIE D ANGLEBERMES,"Jean-Louis, Paul, Marie D'ANGLEBERMES",Province Sud,Province Sud - 07 - FLNKS,Province Sud:13,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ANGLEROT SYLVAINE,SYLVAINE ANGLEROT,Sylvaine ANGLEROT,Province Sud,Province Sud - 03 - L’AVENIR EN CONFIANCE,Province Sud:43,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ANICET BELLE,ANICET BELLE,Anicet BELLE,Province Nord,Province Nord - 02 - AGISSONS POUR LE NORD,Province Nord:15,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ANISETA TUFELE,ANISETA TUFELE,Aniseta TUFELE,Province Sud,Province Sud - 03 - L’AVENIR EN CONFIANCE,Province Sud:17,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ANNA HOLLE ROULIERE,ANNA ROULIERE HOLLE,Anna ROULIERE née HOLLE,Province Sud,Province Sud - 05 - CALEDONIE NOUVELLE ET REUNIE,Province Sud:20,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ANNA OROWI,ANNA OROWI,Anna OROWI,Province Nord,Province Nord - 04 - PARTI TRAVAILLISTE « OSONS LE CHANGEMENT »,Province Nord:26,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ANNE CHIMENTI CHRISTINE,ANNE CHRISTINE CHIMENTI,Anne-Christine CHIMENTI,Province Sud,Province Sud - 09 - CONSTRUIRE AUTREMENT,Province Sud:30,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ANNE DHERSIN MARIE,MARIE ANNE DHERSIN,Marie-Anne DHERSIN,Province Sud,Province Sud - 09 - CONSTRUIRE AUTREMENT,Province Sud:42,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ANNE EUGENIE MINDIA,EUGENIE ANNE MINDIA,"Eugénie, Anne MINDIA",Province des Iles,Province des Iles - 02 - UC - FLNKS,Province des Iles:20,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ANNE KAOUMADANE MARCEL PAIMBOU PATRICK POUMOINE,MARCEL PATRICK ANNE KAOUMADANE PAIMBOU POUMOINE,"Marcel, Patrick, Anne-Kaoumadane PAIMBOU-POUMOINE",Province Nord,Province Nord - 01 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),Province Nord:17,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ANNE LAURE OBRY,ANNE LAURE OBRY,Anne Laure OBRY,Province Nord,"Province Nord - 03 - UNE PROVINCE POUR TOUS, CALEDONIENS ENSEMBLE. POUR UN AVENIR DU PAYS DANS LA PAIX AUX COULEURS DE LA FRANCE",Province Nord:12,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ANNE TILLEWA,ANNE TILLEWA,Anne TILLEWA,Province des Iles,Province des Iles - 03 - PARTI TRAVAILLISTE,Province des Iles:12,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ANNIE QAEZE,ANNIE QAEZE,Annie QAEZE,Province Sud,"Province Sud - 11 - CALEDONIENS ENSEMBLE, POUR UN AVENIR DU PAYS DANS LA PAIX, AUX COULEURS DE LA FRANCE",Province Sud:02,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ANRIETTE KALOU TEIMBOANOU,KALOU ANRIETTE TEIMBOANOU,"Kalou, Anriette TEIMBOANOU",Province Nord,Province Nord - 04 - PARTI TRAVAILLISTE « OSONS LE CHANGEMENT »,Province Nord:22,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ANSELME WEA,ANSELME WEA,Anselme WEA,Province des Iles,Province des Iles - 03 - PARTI TRAVAILLISTE,Province des Iles:03,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ANTOINE NOMAI TEIN,ANTOINE TEIN NOMAI,Antoine Tein NOMAI,Province Nord,Province Nord - 04 - PARTI TRAVAILLISTE « OSONS LE CHANGEMENT »,Province Nord:31,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ANTOINETTE CAMBO MARIE,MARIE ANTOINETTE CAMBO,Marie- Antoinette CAMBO,Province Sud,Province Sud - 07 - FLNKS,Province Sud:40,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ANTOINETTE ITHUPANE TIEOUE,ITHUPANE ANTOINETTE TIEOUE,"Ithupane, Antoinette TIEOUE",Province Sud,Province Sud - 07 - FLNKS,Province Sud:02,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ANTOINETTE LEONI NAHAAIHITOOFA TEIKIPEUOHO,ANTOINETTE LEONI TEIKIPEUOHO NAHAAIHITOOFA,Antoinette LEONI née TEIKIPEUOHO NAHAAIHITOOFA,Province Sud,Province Sud - 05 - CALEDONIE NOUVELLE ET REUNIE,Province Sud:32,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
AP JULIEN TRAN,JULIEN TRAN AP,Julien TRAN AP,Province Sud,Province Sud - 03 - L’AVENIR EN CONFIANCE,Province Sud:24,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
APANGOU GOROMIDO JOSEPH,JOSEPH APANGOU GOROMIDO,"Joseph,Apangou GOROMIDO",Province Nord,Province Nord - 01 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),Province Nord:05,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
APIKAWA FRANCOIS JACQUES,JACQUES FRANCOIS APIKAWA,Jacques François APIKAWA,Province Sud,Province Sud - 08 - ALLIANCE CITOYENNE POUR LA TRANSITION. CONSTRUIRE NOTRE PAYS EN MELANESIE - (ACT),Province Sud:06,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ARHOU GOVALOU PHILIPPE POULOUVA,PHILIPPE POULOUVA GOVALOU ARHOU,"Philippe, Poulouva GOVALOU-ARHOU",Province Nord,Province Nord - 01 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),Province Nord:15,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ARIELLE THEIMBOUEONE,ARIELLE THEIMBOUEONE,Arielle THEIMBOUEONE,Province Nord,Province Nord - 05 - MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE NORD (MNIS NORD),Province Nord:13,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ARIELLE WEISS,ARIELLE WEISS,Arielle WEISS,Province Nord,"Province Nord - 03 - UNE PROVINCE POUR TOUS, CALEDONIENS ENSEMBLE. POUR UN AVENIR DU PAYS DANS LA PAIX AUX COULEURS DE LA FRANCE",Province Nord:30,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ARLETTE TEIN,ARLETTE TEIN,Arlette TEIN,Province Nord,Province Nord - 04 - PARTI TRAVAILLISTE « OSONS LE CHANGEMENT »,Province Nord:04,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ARMAND WADRENGECE WAETHEANE,ARMAND WADRENGECE WAETHEANE,Armand Wadrengece WAETHEANE,Province des Iles,Province des Iles - 08 - PALIKA ILES,Province des Iles:21,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ARMELLE CAGNON,ARMELLE CAGNON,Armelle CAGNON,Province Sud,Province Sud - 04 - PARTI TRAVAILLISTE ET FORCES PROGRESSISTES POUR L’UNITE ET LE CHANGEMENT,Province Sud:34,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ARNAUD FILITIKA,ARNAUD FILITIKA,Arnaud FILITIKA,Province Sud,Province Sud - 06 - L’EVEIL OCEANIEN,Province Sud:27,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ARROYO KARINE,KARINE ARROYO,Karine ARROYO,Province Sud,Province Sud - 08 - ALLIANCE CITOYENNE POUR LA TRANSITION. CONSTRUIRE NOTRE PAYS EN MELANESIE - (ACT),Province Sud:15,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ASHLEY TERIIPAIA,ASHLEY TERIIPAIA,Ashley TERIIPAIA,Province Sud,Province Sud - 05 - CALEDONIE NOUVELLE ET REUNIE,Province Sud:12,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ASSENATHA ONGAT,ASSENATHA ONGAT,Assénatha ONGAT,Province Sud,Province Sud - 08 - ALLIANCE CITOYENNE POUR LA TRANSITION. CONSTRUIRE NOTRE PAYS EN MELANESIE - (ACT),Province Sud:21,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ASSONIE JEWINE,ASSONIE JEWINE,Assonie JEWINE,Province des Iles,Province des Iles - 07 - MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE ILES (MNIS ILES),Province des Iles:07,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
AT CHEE SANDRA,SANDRA AT CHEE,Sandra AT-CHEE,Province Nord,"Province Nord - 03 - UNE PROVINCE POUR TOUS, CALEDONIENS ENSEMBLE. POUR UN AVENIR DU PAYS DANS LA PAIX AUX COULEURS DE LA FRANCE",Province Nord:06,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ATCHEE MARYLINE,MARYLINE ATCHEE,Maryline ATCHEE,Province Sud,Province Sud - 01 - MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),Province Sud:04,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ATELIANO LAMATA,ATELIANO LAMATA,Atéliano LAMATA,Province Sud,Province Sud - 10 - DESTIN COMMUN CALEDONIEN,Province Sud:03,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ATHANASE NAAOUTCHOUE POINDI,ATHANASE POINDI NAAOUTCHOUE,"Athanase, Poindi NAAOUTCHOUE",Province Nord,Province Nord - 01 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),Province Nord:27,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ATINOUA CAROLE SANDRINE,SANDRINE CAROLE ATINOUA,"Sandrine, Carole ATINOUA",Province Sud,Province Sud - 07 - FLNKS,Province Sud:26,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ATINOUA PATRICE,PATRICE ATINOUA,Patrice ATINOUA,Province Sud,Province Sud - 10 - DESTIN COMMUN CALEDONIEN,Province Sud:25,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ATTAWA NARDA,NARDA ATTAWA,Narda ATTAWA,Province des Iles,Province des Iles - 01 - UNITAIRE KANAKY GENERATION,Province des Iles:20,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
AUCHER RACHELLE,RACHELLE AUCHER,Rachelle AUCHER,Province Sud,Province Sud - 07 - FLNKS,Province Sud:12,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
AUDE CHRISTELLE FOREST KONYI,AUDE CHRISTELLE FOREST KONYI,Aude Christelle FOREST ép KONYI,Province Sud,Province Sud - 09 - CONSTRUIRE AUTREMENT,Province Sud:04,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
AUDE LEGRAS,AUDE LEGRAS,Aude LEGRAS,Province Sud,Province Sud - 02 - RASSEMBLEMENT NATIONAL,Province Sud:04,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
AUDREY NYITEIJ,AUDREY NYITEIJ,Audrey NYITEIJ,Province Sud,Province Sud - 09 - CONSTRUIRE AUTREMENT,Province Sud:22,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
AUGUSTE POUROUORO,AUGUSTE POUROUORO,Auguste POUROUORO,Province Nord,Province Nord - 04 - PARTI TRAVAILLISTE « OSONS LE CHANGEMENT »,Province Nord:11,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
AUGUSTE WABEALO,AUGUSTE WABEALO,Auguste WABEALO,Province Nord,Province Nord - 04 - PARTI TRAVAILLISTE « OSONS LE CHANGEMENT »,Province Nord:17,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
AUGUSTIN KATE,AUGUSTIN KATE,Augustin KATE,Province Sud,Province Sud - 04 - PARTI TRAVAILLISTE ET FORCES PROGRESSISTES POUR L’UNITE ET LE CHANGEMENT,Province Sud:05,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
AURELIA LUTA,AURELIA LUTA,Aurélia LUTA,Province Sud,Province Sud - 09 - CONSTRUIRE AUTREMENT,Province Sud:50,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
AURELIE LOMBARDO,AURELIE LOMBARDO,Aurélie LOMBARDO,Province Sud,Province Sud - 01 - MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),Province Sud:06,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
AUVAA EVA SEVELLE,EVA SEVELLE AUVAA,Eva SEVELLE ép AUVAA,Province Sud,Province Sud - 10 - DESTIN COMMUN CALEDONIEN,Province Sud:36,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
AUVRAY YVAN,YVAN AUVRAY,Yvan AUVRAY,Province Sud,Province Sud - 02 - RASSEMBLEMENT NATIONAL,Province Sud:43,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
AVRIL NATHALIE,NATHALIE AVRIL,Nathalie AVRIL,Province Nord,Province Nord - 02 - AGISSONS POUR LE NORD,Province Nord:28,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
AWA GRAZIELLA WETEWEA,GRAZIELLA AWA WETEWEA,"Graziella, Awa WETEWEA",Province des Iles,Province des Iles - 06 - NOUVELLE VISION DES ILES,Province des Iles:22,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
AXEL BEN LARBI,AXEL BEN LARBI,Axel BEN LARBI,Province Nord,Province Nord - 02 - AGISSONS POUR LE NORD,Province Nord:27,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
BABIN BLANCHER SOLANGE,SOLANGE BLANCHER BABIN,Solange BLANCHER ép BABIN,Province Nord,Province Nord - 02 - AGISSONS POUR LE NORD,Province Nord:14,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
BABIN ISABELLE,ISABELLE BABIN,Isabelle BABIN,Province Nord,Province Nord - 06 - UC-FLNKS,Province Nord:16,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
BABIN LINDSEY,LINDSEY BABIN,Lindsey BABIN,Province Sud,Province Sud - 02 - RASSEMBLEMENT NATIONAL,Province Sud:08,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
BAKO HNAWIA MAJA MARINETTE,MAJA MARINETTE BAKO HNAWIA,"Maja, Marinette BAKO ép. HNAWIA",Province des Iles,Province des Iles - 06 - NOUVELLE VISION DES ILES,Province des Iles:18,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
BAKO NAOMIE,NAOMIE BAKO,Naomie BAKO,Province Sud,Province Sud - 08 - ALLIANCE CITOYENNE POUR LA TRANSITION. CONSTRUIRE NOTRE PAYS EN MELANESIE - (ACT),Province Sud:29,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
BAKO NOEL TROAMENYIE VICTOR,NOEL VICTOR TROAMENYIE BAKO,"Noël, Victor, Troamenyie BAKO",Province des Iles,Province des Iles - 02 - UC - FLNKS,Province des Iles:13,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
BALET BERNARD,BERNARD BALET,Bernard BALET,Province Sud,Province Sud - 09 - CONSTRUIRE AUTREMENT,Province Sud:23,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
BALMELLI DAM LINA,LINA BALMELLI DAM,Lina BALMELLI née DAM,Province Sud,Province Sud - 02 - RASSEMBLEMENT NATIONAL,Province Sud:40,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
BAPTISTE FALELAVAKI JEAN,JEAN BAPTISTE FALELAVAKI,Jean-Baptiste FALELAVAKI,Province Sud,Province Sud - 09 - CONSTRUIRE AUTREMENT,Province Sud:27,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
BAPTISTE JEAN MOILOU,JEAN BAPTISTE MOILOU,Jean-Baptiste MOILOU,Province Nord,Province Nord - 01 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),Province Nord:21,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
BARBANCON SERGE,SERGE BARBANCON,Serge BARBANÇON,Province Sud,Province Sud - 05 - CALEDONIE NOUVELLE ET REUNIE,Province Sud:43,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
BARRETTEAU GAETAN,GAETAN BARRETTEAU,Gaëtan BARRETTEAU,Province Sud,"Province Sud - 11 - CALEDONIENS ENSEMBLE, POUR UN AVENIR DU PAYS DANS LA PAIX, AUX COULEURS DE LA FRANCE",Province Sud:37,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
BASILE CITRE,BASILE CITRE,Basile CITRE,Province des Iles,Province des Iles - 05 - DYNAMIQUE AUTOCHTONE,Province des Iles:02,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
BATI LUTECIA,LUTECIA BATI,Lutecia BATI,Province Nord,Province Nord - 02 - AGISSONS POUR LE NORD,Province Nord:20,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
BAUDOEUF LUDOVIC,LUDOVIC BAUDOEUF,Ludovic BAUDOEUF,Province Sud,Province Sud - 10 - DESTIN COMMUN CALEDONIEN,Province Sud:43,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
BEARUNE ISABELLE KALOI,ISABELLE KALOI BEARUNE,Isabelle KALOI - BEARUNE,Province des Iles,Province des Iles - 02 - UC - FLNKS,Province des Iles:02,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
BEARUNE ISIDORE,ISIDORE BEARUNE,Isidore BEARUNE,Province des Iles,Province des Iles - 05 - DYNAMIQUE AUTOCHTONE,Province des Iles:20,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
BEATRICE ROBELIN,BEATRICE ROBELIN,Béatrice ROBELIN,Province Sud,Province Sud - 01 - MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),Province Sud:20,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
BELINDA FARAIRE,BELINDA FARAIRE,Bélinda FARAIRE,Province Sud,Province Sud - 01 - MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),Province Sud:08,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
BENJAMIN WADROBERT,BENJAMIN WADROBERT,Benjamin WADROBERT,Province des Iles,Province des Iles - 07 - MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE ILES (MNIS ILES),Province des Iles:18,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
BERA KABEU STANLEY,STANLEY BERA KABEU,"Stanley, Béra KABEU",Province Nord,Province Nord - 04 - PARTI TRAVAILLISTE « OSONS LE CHANGEMENT »,Province Nord:19,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
BERNARD BOUANAOUE,BERNARD BOUANAOUE,Bernard BOUANAOUE,Province Sud,Province Sud - 04 - PARTI TRAVAILLISTE ET FORCES PROGRESSISTES POUR L’UNITE ET LE CHANGEMENT,Province Sud:43,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
BERNARD ENOKA,BERNARD ENOKA,Bernard ENOKA,Province Sud,Province Sud - 01 - MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),Province Sud:47,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
