annee,scrutin,date_scrutin,source_arrete,province,numero_liste,liste_nom,couleur_bulletin,embleme,rang,nom_prenoms,sexe,page_source,source_url,nom_normalise,nom_cle_comparaison,ocr_a_verifier,liste_id
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,35,Michel BEANOU,M,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,MICHEL BEANOU,BEANOU MICHEL,FALSE,2019_Province Sud_01
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,36,Holly HOUCHARD,F,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,HOLLY HOUCHARD,HOLLY HOUCHARD,FALSE,2019_Province Sud_01
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,37,Mario ROBELIN,M,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,MARIO ROBELIN,MARIO ROBELIN,FALSE,2019_Province Sud_01
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,38,Vanuela OHNO,F,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,VANUELA OHNO,OHNO VANUELA,FALSE,2019_Province Sud_01
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,39,Jean-Paul ANGEXETINE,M,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,JEAN PAUL ANGEXETINE,ANGEXETINE JEAN PAUL,FALSE,2019_Province Sud_01
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,40,Etiennette IHILY,F,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,ETIENNETTE IHILY,ETIENNETTE IHILY,FALSE,2019_Province Sud_01
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,41,Jean-Luc BELKASSEM BEN AMAR,M,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,JEAN LUC BELKASSEM BEN AMAR,AMAR BELKASSEM BEN JEAN LUC,FALSE,2019_Province Sud_01
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,42,Sylvette WAMOE,F,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,SYLVETTE WAMOE,SYLVETTE WAMOE,FALSE,2019_Province Sud_01
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,43,Thierry HMALOKO,M,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,THIERRY HMALOKO,HMALOKO THIERRY,FALSE,2019_Province Sud_01
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,44,Marie-Claire HAOCAS,F,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,MARIE CLAIRE HAOCAS,CLAIRE HAOCAS MARIE,FALSE,2019_Province Sud_01
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,45,Sébastien NEA,M,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,SEBASTIEN NEA,NEA SEBASTIEN,FALSE,2019_Province Sud_01
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,46,Waietha NYPIE,F,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,WAIETHA NYPIE,NYPIE WAIETHA,FALSE,2019_Province Sud_01
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,47,Bernard ENOKA,M,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,BERNARD ENOKA,BERNARD ENOKA,FALSE,2019_Province Sud_01
