nom_cle_comparaison_2019,nom_cle_comparaison_2026,nom_affiche_2019,province_2019,liste_2019,rang_2019,nom_affiche_2026,province_2026,liste_2026,rang_2026,nom_clean_2019,nom_clean_2026,tokens_2019,tokens_2026,tokens_communs,nb_tokens_communs,nb_tokens_rares_communs,n_tokens_2019,n_tokens_2026,dice_tokens,lev_distance,lev_ratio,meme_province,tokens_non_prenoms_communs,a_token_non_prenom_commun
ATHANASE NAAOUTCHOUE POINDI,EMILEDOUARD NAAOUTCHOUE,"Athanase, Poindi NAAOUTCHOUE",Province Nord,UNI,27,NAAOUTCHOUE Emiledouard,Province Nord,Faire Pays,17,ATHANASE NAAOUTCHOUE POINDI ATHANASE POINDI NAAOUTCHOUE,EMILEDOUARD NAAOUTCHOUE NAAOUTCHOUE EMILEDOUARD,ATHANASE|NAAOUTCHOUE|POINDI,EMILEDOUARD|NAAOUTCHOUE,NAAOUTCHOUE,1,1,3,2,0.4,37,0.6727272727272727,TRUE,NAAOUTCHOUE,TRUE
CERVERA CORNAILLE MARTINE,AVARGUEZ MARTINE,Martine CORNAILLE née CERVERA,Province Sud,Alliance citoyenne pour la transition,1,AVARGUEZ Martine,Province Sud,"France Caledonie, une patrie",30,CERVERA CORNAILLE MARTINE MARTINE CORNAILLE NEE CERVERA,AVARGUEZ MARTINE AVARGUEZ MARTINE,CERVERA|CORNAILLE|MARTINE,AVARGUEZ|MARTINE,MARTINE,1,1,3,2,0.4,37,0.6727272727272727,TRUE,MARTINE,TRUE
FRANCESCA SALIGA SUMOI,ASINOC SALIGA,Francesca SUMOI épouse SALIGA,Province Sud,Destin commun caledonien,4,SALIGA Asinoc,Province Sud,Kanaky pour tous,34,FRANCESCA SALIGA SUMOI FRANCESCA SUMOI EPOUSE SALIGA,ASINOC SALIGA SALIGA ASINOC,FRANCESCA|SALIGA|SUMOI,ASINOC|SALIGA,SALIGA,1,1,3,2,0.4,35,0.6730769230769231,TRUE,SALIGA,TRUE
FRANCESCA SALIGA SUMOI,ROMEO SALIGA,Francesca SUMOI épouse SALIGA,Province Sud,Destin commun caledonien,4,SALIGA Roméo,Province Sud,Une Province pour tous,34,FRANCESCA SALIGA SUMOI FRANCESCA SUMOI EPOUSE SALIGA,ROMEO SALIGA SALIGA ROMEO,FRANCESCA|SALIGA|SUMOI,ROMEO|SALIGA,SALIGA,1,1,3,2,0.4,35,0.6730769230769231,TRUE,SALIGA,TRUE
BAPTISTE FALELAVAKI JEAN,FALELAVAKI MATHIEU,Jean-Baptiste FALELAVAKI,Province Sud,Construire autrement,27,FALELAVAKI Mathieu,Province Sud,Souverainete Kanaky NC,43,BAPTISTE FALELAVAKI JEAN JEAN BAPTISTE FALELAVAKI,FALELAVAKI MATHIEU FALELAVAKI MATHIEU,BAPTISTE|FALELAVAKI|JEAN,FALELAVAKI|MATHIEU,FALELAVAKI,1,1,3,2,0.4,33,0.673469387755102,TRUE,FALELAVAKI,TRUE
NASSAI WABEALO WASSIN,ODILE WABEALO,Nassai WASSIN ép WABEALO,Province Nord,Parti travailliste,30,WABEALO Odile,Province Nord,UNI,26,NASSAI WABEALO WASSIN NASSAI WASSIN EP WABEALO,ODILE WABEALO WABEALO ODILE,NASSAI|WABEALO|WASSIN,ODILE|WABEALO,WABEALO,1,1,3,2,0.4,31,0.6739130434782609,TRUE,WABEALO,TRUE
GERARD SALAUN,BONNARD FRANCK GERARD,Gérard SALAUN,Province Sud,L'Avenir en confiance,50,BONNARD Franck-Gérard,Province Sud,Unis pour le Pays,5,GERARD SALAUN GERARD SALAUN,BONNARD FRANCK GERARD BONNARD FRANCK GERARD,GERARD|SALAUN,BONNARD|FRANCK|GERARD,GERARD,1,1,2,3,0.4,29,0.6744186046511628,TRUE,GERARD,TRUE
CHERIKA MARIE ROLLAND,DALBIEZ ROLLAND,Rolland-Marie CHERIKA,Province Sud,Parti travailliste et forces progressistes,31,DALBIEZ Rolland,Province Sud,"France Caledonie, une patrie",48,CHERIKA MARIE ROLLAND ROLLAND MARIE CHERIKA,DALBIEZ ROLLAND DALBIEZ ROLLAND,CHERIKA|MARIE|ROLLAND,DALBIEZ|ROLLAND,ROLLAND,1,1,3,2,0.4,29,0.6744186046511628,TRUE,ROLLAND,TRUE
CHANTAL COURTOT,ARCANGELO COURTOT MARYLINE,Chantal COURTOT,Province Sud,L'Avenir en confiance,29,COURTOT épouse D'ARCANGELO Maryline,Province Sud,Les Loyalistes et Le Rassemblement,43,CHANTAL COURTOT CHANTAL COURTOT,ARCANGELO COURTOT MARYLINE COURTOT EPOUSE D ARCANGELO MARYLINE,CHANTAL|COURTOT,ARCANGELO|COURTOT|MARYLINE,COURTOT,1,1,2,3,0.4,42,0.6774193548387096,TRUE,COURTOT,TRUE
AP JULIEN TRAN,BOANEMOI JULIEN,Julien TRAN AP,Province Sud,L'Avenir en confiance,24,BOANEMOI Julien,Province Sud,Kanaky pour tous,41,AP JULIEN TRAN JULIEN TRAN AP,BOANEMOI JULIEN BOANEMOI JULIEN,AP|JULIEN|TRAN,BOANEMOI|JULIEN,JULIEN,1,1,3,2,0.4,21,0.6774193548387096,TRUE,JULIEN,TRUE
ATCHEE MARYLINE,ARCANGELO COURTOT MARYLINE,Maryline ATCHEE,Province Sud,MNIS Sud,4,COURTOT épouse D'ARCANGELO Maryline,Province Sud,Les Loyalistes et Le Rassemblement,43,ATCHEE MARYLINE MARYLINE ATCHEE,ARCANGELO COURTOT MARYLINE COURTOT EPOUSE D ARCANGELO MARYLINE,ATCHEE|MARYLINE,ARCANGELO|COURTOT|MARYLINE,MARYLINE,1,1,2,3,0.4,42,0.6774193548387096,TRUE,MARYLINE,TRUE
