nom_cle_comparaison_2019,nom_affiche_2019,provinces_2019,listes_2019,nom_cle_comparaison_2026,nom_affiche_2026,provinces_2026,listes_2026,nb_tokens_communs,dice_tokens,jw_distance,statut
JEAN WAIMO YVES,Jean-Yves WAIMO,Province des Iles,Province des Iles - 03 - PARTI TRAVAILLISTE,JEAN KARTODIMEDJO YVES,KARTODIMEDJO Jean-Yves,Province Nord,Province Nord - 02 - ALTERNATIVE NORD POUR UN PAYS SOUVERAIN,2,0.6666666666666666,0.13606060606060605,rapprochement_tokens_a_verifier
GAMBEY HENRIETTE SIMEBUET,Henriette GAMBEY née SIMEBUET,Province des Iles,Province des Iles - 05 - DYNAMIQUE AUTOCHTONE,GAMBEY HARIATRE HENRIETTE,"GAMBEY Henriette, Hariatre",Province des Iles,Province des Iles - 04 - NATION AUTOCHTONE,2,0.6666666666666666,0.14,rapprochement_tokens_a_verifier
CHARLES GEORGES OLIVIER TESTEMALLE,Olivier Georges Charles TESTEMALLE,Province Sud,Province Sud - 09 - CONSTRUIRE AUTREMENT,CHARLES OLIVIER,CHARLES Olivier,Province Sud,Province Sud - 12 - UN ESPOIR POUR DEMAIN,2,0.6666666666666666,0.1517647058823529,rapprochement_tokens_a_verifier
DIGOUE RICHARD,Richard DIGOUE,Province Sud,Province Sud - 09 - CONSTRUIRE AUTREMENT,DIGOUE FRANCIS JEAN RICHARD,"DIGOUE Richard, Jean-Francis",Province Sud,Province Sud - 12 - UN ESPOIR POUR DEMAIN,2,0.6666666666666666,0.1563492063492064,rapprochement_tokens_a_verifier
FORREST NAISSELINE OMAYRA,Omayra NAISSELINE née FORREST,Province des Iles,Province des Iles - 05 - DYNAMIQUE AUTOCHTONE,MEUN NAISSELINE OMAYRA,"NAISSELINE Omayra, Meun",Province des Iles,Province des Iles - 04 - NATION AUTOCHTONE,2,0.6666666666666666,0.16931419457735242,rapprochement_tokens_a_verifier
JEAN MALEJAC YVES,Jean-Yves MALEJAC,Province Sud,Province Sud - 02 - RASSEMBLEMENT NATIONAL,JEAN POITHILI YVES,POITHILI Jean-Yves,Province Nord,Province Nord - 04 - FAIRE PAYS,2,0.6666666666666666,0.18472964943553177,rapprochement_tokens_a_verifier
JEAN KUILAGI PIERRE,Jean-Pierre KUILAGI,Province Sud,Province Sud - 06 - L’EVEIL OCEANIEN,JEAN PIERRE SELEFEN,SELEFEN Jean-Pierre,Province Sud,Province Sud - 06 - SOUVERAINETE KANAKY NOUVELLE-CALEDONIE,2,0.6666666666666666,0.18785425101214578,rapprochement_tokens_a_verifier
AUDE LEGRAS,Aude LEGRAS,Province Sud,Province Sud - 02 - RASSEMBLEMENT NATIONAL,AUDE CLAUDE KARENE LEGRAS,"LEGRAS Aude, Karene, Claude",Province Sud,Province Sud - 08 - POUR UNE CALEDONIE FRANCAISE,2,0.6666666666666666,0.1976969696969697,rapprochement_tokens_a_verifier
DJEO LUC ROCH WAMYTAN,"Roch, Luc Djéo WAMYTAN",Province Sud,Province Sud - 07 - FLNKS,ROCH WAMYTAN,WAMYTAN Roch,Province Sud,Province Sud - 02 - KANAKY POUR TOUS,2,0.6666666666666666,0.19841269841269848,rapprochement_tokens_a_verifier
FERE JEAN PIERRE,Jean Pierre FERE,Province Sud,Province Sud - 01 - MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),FARINO JEAN PIERRE,FARINO Jean-Pierre,Province Nord,Province Nord - 04 - FAIRE PAYS,2,0.6666666666666666,0.2005952380952381,rapprochement_tokens_a_verifier
