election,tour,commune_norm,commune,bloc,camp_institutionnel,nb_bureaux,nb_bureaux_geolocalises,inscrits,votants,abstentions,exprimes,voix_bloc,options,pct_exprimes,pct_inscrits
legislatives_2022,2,BOURAIL,Bourail,independantiste,independantiste,5,5,4666,2500,2166,2426,581,Union caledonienne,23.95,12.45
legislatives_2022,2,BOURAIL,Bourail,loyaliste,anti_independantiste,5,5,4666,2500,2166,2426,1845,Generations NC,76.05,39.54
legislatives_2022,2,CANALA,Canala,independantiste,independantiste,7,7,3589,2268,1321,2256,2195,Union caledonienne,97.3,61.16
legislatives_2022,2,CANALA,Canala,loyaliste,anti_independantiste,7,7,3589,2268,1321,2256,61,Generations NC,2.7,1.7
legislatives_2022,2,DUMBEA,Dumbéa,independantiste,independantiste,26,26,22794,10047,12747,9768,1834,Union caledonienne,18.78,8.05
legislatives_2022,2,DUMBEA,Dumbéa,loyaliste,anti_independantiste,26,26,22794,10047,12747,9768,7934,Generations NC,81.22,34.81
legislatives_2022,2,FARINO,Farino,independantiste,independantiste,1,1,668,453,215,436,35,Union caledonienne,8.03,5.24
legislatives_2022,2,FARINO,Farino,loyaliste,anti_independantiste,1,1,668,453,215,436,401,Generations NC,91.97,60.03
legislatives_2022,2,HIENGHENE,Hienghène,independantiste,independantiste,10,10,2504,1315,1189,1308,1279,Union caledonienne,97.78,51.08
legislatives_2022,2,HIENGHENE,Hienghène,loyaliste,anti_independantiste,10,10,2504,1315,1189,1308,29,Generations NC,2.22,1.16
legislatives_2022,2,HOUAILOU,Houailou,independantiste,independantiste,8,8,3752,1730,2022,1702,1536,Union caledonienne,90.25,40.94
legislatives_2022,2,HOUAILOU,Houailou,loyaliste,anti_independantiste,8,8,3752,1730,2022,1702,166,Generations NC,9.75,4.42
legislatives_2022,2,ILEDESPINS,Ile des Pins,centriste,anti_independantiste,2,2,1842,630,1212,630,168,Caledonie ensemble,26.67,9.12
legislatives_2022,2,ILEDESPINS,Ile des Pins,independantiste,independantiste,2,2,1842,630,1212,630,462,Palika,73.33,25.08
legislatives_2022,2,KAALAGOMEN,Kaala-Gomen,independantiste,independantiste,6,6,1761,736,1025,726,557,Union caledonienne,76.72,31.63
legislatives_2022,2,KAALAGOMEN,Kaala-Gomen,loyaliste,anti_independantiste,6,6,1761,736,1025,726,169,Generations NC,23.28,9.6
