province;commune;num_bv;bv;inscrits;votants;abstention;nuls;blancs;exprimes;oui;non
Province Sud;Mont-Dore;4;École primaire Louis Henri GALINIE 1;781;708;73;7;10;691;146;545
Province Sud;Mont-Dore;9;Mairie annexe de Plum 1;944;788;156;13;10;765;232;533
Province Sud;Mont-Dore;10;École La Rizière 2;874;742;132;9;9;724;235;489
Province Sud;Mont-Dore;11;Groupe scolaire de Boulari 2;699;613;86;5;4;604;79;525
Province Sud;Mont-Dore;12;Groupe scolaire Saint-Michel 1;690;595;95;9;6;580;189;391
Province Sud;Mont-Dore;20;Groupe scolaire de Plum;554;472;82;3;2;467;125;342
Province Sud;Mont-Dore;23;École de la Briqueterie 2;610;529;81;4;4;521;88;433
Province Sud;Mont-Dore;24;Mairie 2;521;429;92;1;4;424;68;356
Province Sud;Nouméa;2;Mairie 2;1086;786;300;4;4;778;359;419
Province Sud;Nouméa;5;École Yvonne DUPONT 1;677;613;64;1;3;609;19;590
Province Sud;Nouméa;6;École Eloi FRANC 1;840;746;94;2;5;739;87;652
Province Sud;Nouméa;7;École Eloi FRANC 2;715;639;76;1;2;636;38;598
Province Sud;Nouméa;9;École Fernande LERICHE 2;790;722;68;6;0;716;37;679
Province Sud;Nouméa;14;École Paul BOYER 1;673;584;89;3;3;578;73;505
Province Sud;Nouméa;17;École Candide KOCH 2;870;784;86;4;8;772;48;724
Province Sud;Nouméa;25;École Michel CACOT 1;899;816;83;0;5;811;72;739
Province Sud;Nouméa;29;École Gustave MOUCHET 2;1016;769;247;8;5;756;391;365
Province Sud;Nouméa;32;École Marie COURTOT 2;869;799;70;2;7;790;43;747
Province Sud;Nouméa;35;École les ŒILLETS;915;773;142;4;3;766;220;546
Province Sud;Nouméa;36;École Jacques TROUILLOT;891;763;128;6;12;745;250;495
Province Sud;Nouméa;39;École Adrienne LOMONT 1;754;597;157;6;4;587;235;352
Province Sud;Nouméa;41;École Gustave LODS 1;1052;874;178;5;8;861;231;630
Province Sud;Nouméa;43;École Daniel TALON;1788;1384;404;12;12;1360;632;728
Province Sud;Nouméa;45;École Mathilde BROQUET 2;1241;1075;166;6;10;1059;244;815
Province Sud;Nouméa;46;École Yvonne DUPONT 2;530;485;45;0;2;483;8;475
Province Sud;Nouméa;51;École Michel AMIOT;985;875;110;3;4;868;134;734
Province Sud;Nouméa;52;École Charles BICHON;548;486;62;5;3;478;47;431
Province Sud;Nouméa;56;École Guy CHAMPMOREAU;1241;1071;170;3;9;1059;213;846
Province Sud;Nouméa;57;Mairie 3;570;245;325;4;5;236;133;103
Province Nord;Ouégoa;1;Mairie;803;704;99;8;4;692;198;494
Province Nord;Ouégoa;3;Paimboas;392;320;72;1;0;319;311;8
Province des Iles;Ouvéa;1;Mairie;732;494;238;4;0;490;374;116
