PopGIS3 - Nouvelle Calédonie; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : iris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Répartition en 6 cat. de la CSP (Agri, artis, cadre, prof int, employé, ouvrier) - agriculteurs-pêcheurs;Répartition en 6 cat. de la CSP (Agri, artis, cadre, prof int, employé, ouvrier) - d'artisans-commerçants;Répartition en 6 cat. de la CSP (Agri, artis, cadre, prof int, employé, ouvrier) - cadres;Répartition en 6 cat. de la CSP (Agri, artis, cadre, prof int, employé, ouvrier) - professions intermédiaires;Répartition en 6 cat. de la CSP (Agri, artis, cadre, prof int, employé, ouvrier) - employés;Répartition en 6 cat. de la CSP (Agri, artis, cadre, prof int, employé, ouvrier) - ouvriers;% employés et ouvriers;% salariés du privé;% salariés du public;% CDD (Contrat à Durée Déterminée);% CDI (Contrat à Durée Indéterminée);% actifs à temps complet;% actifs à temps partiel;% travail en continu;% travail saisonnier;% mode principal de transport = marche à pied;% mode principal de transport = voiture;% mode principal de transport = transport en commun;% ménages sans véhicules;% propriétaires;% locataires;% locataires gratuit;% locataires social;% locataires privés;% logements < 40 m²;% logements < 80 m²;% logements < 120 m²;% logements > 160 m²;% ménages raccordés au réseau d'électricité;% ménages non raccordés au réseau d'électricité;% de ménages avec point d'eau courante individuelle;% ménages réfrigérateur;% ménages machine à laver;% ménages accès à internet;Taux de navetteurs sortant;Taux d'activité (15-64 ans);Taux d'emploi;Taux de chômage;% travailleurs indépendants;% pers. ne résidant pas en Nouvelle Calédonie en 2014;% pers. résidant dans une autre commune en 2014;% pers. résidant dans la même commune en 2014;% pers. seules;% couples sans enfant(s);% couples avec enfant(s);% familles monoparentales;% ménages complexes
1713;Mont Dore Sud;6;127;114;288;290;250;50.2;54.1;23.5;15.6;62;88;12;94.1;5.9;2.9;87.3;12.1;15.4;72.7;23.8;3.5;8.1;15.7;9.9;28.9;37.9;23.3;99.5;0.5;99.3;99.3;95.9;75.7;0.5;70.8;64.3;9.3;22.3;5.5;14.5;80.1;21.6;22.3;35.9;7.3;12.9
1714;Plum;2;57;43;142;466;202;73.2;44.8;45.2;37.4;52.6;90.9;9.1;94.1;5.9;23.4;67.1;14.1;33.1;64.8;28.9;6.3;8.4;20.5;8.4;27;45.1;19.6;97.9;2.1;97.1;97;94.1;66.3;0.4;70.1;62.3;11.2;10;15.5;12.9;71.6;10.3;14.8;40.9;8.2;25.9
1715;Mouirange - Grand Sud - Ile Ouen;12;19;9;17;31;45;57.1;56.4;13.5;19.5;50.4;87.2;12.8;91;9;26.9;64.4;10.9;39.7;78.4;10.3;11.2;0;10.3;15.5;32.8;38.8;12.9;83.6;16.4;96.6;96.6;91.4;39.7;0.3;67.6;55.2;18.4;30.1;0.3;7.2;92.6;12.9;23.3;34.5;7.8;21.6
1716;Malaoui;0;0;0;0;0;0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0
1801;Val Plaisance Sud - Ouen Toro;6;180;367;329;182;81;23;45.1;31.1;13.8;62.4;93.4;6.6;96.5;3.5;9.7;89.1;2.5;13.6;53.2;44.5;2.3;0;44.5;6.9;33;39.1;21;99.7;0.3;99.9;99.6;98.3;91.5;0.1;79.4;77.2;2.8;23.8;23.3;5.9;70.8;32;30.5;25.1;7.5;4.8
1802;Val Plaisance Nord;0;133;214;223;114;40;21.3;43.8;27.5;10.4;60.9;89.1;10.9;97.1;2.9;10.4;87.9;3.2;14;53.4;43.7;3;0.2;43.5;11.5;40.6;29.3;18.6;99.5;0.5;99.8;99.5;95.3;88.9;0.1;80.8;77.8;3.6;28.7;18.9;7.3;73.8;36;25;24.2;8.7;6.1
1803;Anse Vata Est;1;146;335;374;204;81;25;45;30.1;11.3;63.8;87.8;12.2;95;5;16.7;80.6;4.9;12;42.8;52.1;5.1;8.6;43.5;8.3;45.2;31.2;15.4;99.9;0.1;99.6;99.5;93.9;88;0.1;78.7;74.5;5.4;24.9;24;6.8;69.2;35.5;25;24.2;9.7;5.7
1804;Anse Vata Ouest;1;120;207;223;134;49;24.9;37.9;36;12.8;61;91;9;96.3;3.7;13.3;82.4;6.4;17.2;45;52.1;2.9;9.4;42.7;18.1;31.6;28.3;22;91.5;8.5;93.5;98.5;88.4;90.3;0.1;75;71;5.3;26.2;29.1;6.1;64.8;29.2;29;26.9;10.3;4.6
1805;Baie des citrons;0;138;325;294;176;54;23.3;39.6;35.5;14.3;60.8;90.9;9.1;96.8;3.2;24.8;75.1;1.9;12.9;49;46.3;4.7;0;46.3;12.4;41.6;28.6;17.4;99.2;0.8;99.6;99.7;95.6;92;0.1;79.4;76.6;3.5;24.9;33.9;6;60.1;38;29.8;23.4;4.1;4.7
1806;Motor Pool - Receiving;3;161;358;394;311;108;31.4;44.5;35.4;17.2;62.6;90.5;9.5;94.7;5.3;20.3;78.1;3.8;16.1;45.2;46.1;8.7;7.4;38.7;6.3;50;29.9;13.9;99.7;0.3;99.8;99.6;97.7;87.5;0.1;79;75.1;4.9;20.1;23.6;6;70.4;30.7;21.7;29.8;12.6;5.2
1807;N'Géa;0;273;329;463;388;218;36.3;51.1;25.3;15;61.4;88.9;11.1;93.1;6.9;19.5;72.6;9.8;26.7;43;56.2;0.8;45.9;10.3;6.9;40.9;17;35.3;99.4;0.6;99.3;98.2;95.9;75.7;0.1;72.7;66.3;8.8;23.6;9.3;5.7;85;20.7;20.9;34.5;14.1;9.8
1808;Trianon;2;212;397;546;295;116;26.2;46.9;31.2;12.6;65.6;91.7;8.3;97.3;2.7;13.2;84.1;3.6;17.5;39.4;59.1;1.5;9.9;49.2;18.4;41.3;28.6;11.7;99.6;0.4;99.4;99.1;92.7;83;0.1;81.7;78.4;4;21.9;23.1;7.5;69.5;40.8;23.9;23.2;7.7;4.5
1809;Orphelinat;1;138;270;211;92;30;16.4;43.4;33;21.2;55.3;94.2;5.8;97.2;2.8;10.4;89.8;2.2;12.4;60.3;37.2;2.6;0.2;37;3.1;33.3;39.9;23.7;98.1;1.9;99.2;98.7;97.9;92.9;0.1;80.5;78.8;2.1;23.6;21;4.4;74.5;29.9;29.4;28.6;6.8;5.3
1810;Artillerie;3;97;213;174;160;49;30;35.8;39.7;14.2;61.2;90.2;9.8;95.3;4.7;30.8;68.7;3.8;14.9;46.6;48.2;5.2;7.3;40.9;26.5;40.9;23.9;8.6;99.5;0.5;99.4;99.2;78.3;91.1;0.1;74.2;71.5;3.7;24.6;36.8;8.1;55.2;32.5;27.5;28.6;8.3;3.1
