commune;num_bv;bv;inscrits;votants;abstention;nuls;blancs;exprimes;oui;non
BELEP;1;Mairie;790.0;589.0;201;2;0;587;555;32
BOULOUPARIS;1;Mairie - Maison des associations;1520.0;1394.0;126;13;3;1378;493;885
BOURAIL;2;Pothé;822.0;679.0;143;11;2;666;553;113
CANALA;1;Mairie;340.0;293.0;47;7;3;283;252;31
CANALA;3;Nanon;465.0;404.0;61;2;8;394;372;22
DUMBEA;1;Hôtel de Ville 1;820.0;691.0;129;1;5;685;70;615
DUMBEA;2;Hôtel de ville 2;1454.0;1192.0;262;18;10;1164;365;799
DUMBEA;6;Centre Culturel de Dumbéa;799.0;643.0;156;10;4;629;145;484
DUMBEA;7;École maternelle Les Jacarandas;1186.0;962.0;224;7;5;950;223;727
DUMBEA;9;École primaire Gustave CLAIN;1122.0;950.0;172;3;8;939;239;700
DUMBEA;12;Groupe scolaire Michelle DELACHARLERIE-ROLLY 2;665.0;509.0;156;13;8;488;163;325
DUMBEA;13;Groupe scolaire Renée FONG;1131.0;941.0;190;10;7;924;248;676
DUMBEA;15;Groupe scolaire John HIGGINSON;818.0;674.0;144;8;5;661;79;582
DUMBEA;16;École primaire Paul DUBOISE 1;726.0;643.0;83;7;6;630;92;538
DUMBEA;17;École primaire Paul DUBOISE 2;645.0;537.0;108;0;6;531;99;432
FARINO;1;Mairie;548.0;520.0;28;6;2;512;47;465
HIENGHENE;1;Mairie;541.0;461.0;80;6;3;452;422;30
HIENGHENE;2;Tendo;220.0;189.0;31;1;0;188;176;12
HIENGHENE;7;Oué-Hawa;65.0;55.0;10;0;0;55;55;0
HOUAILOU;2;Warai;660.0;541.0;119;10;7;524;407;117
HOUAILOU;3;Bâ;369.0;306.0;63;2;0;304;266;38
HOUAILOU;4;Nessakoéa;303.0;253.0;50;0;0;253;229;24
HOUAILOU;5;Poro;516.0;412.0;104;4;5;403;306;97
HOUAILOU;7;Néaoua;328.0;276.0;52;2;1;273;253;20
KAALA-GOMEN;1;Mairie;494.0;411.0;83;3;4;404;222;182
KAALA-GOMEN;2;Ouéholle;358.0;328.0;30;0;2;326;323;3
KAALA-GOMEN;3;Maison Païta;274.0;245.0;29;2;0;243;217;26
KAALA-GOMEN;4;Maison Gamaï;184.0;161.0;23;1;0;160;145;15
KONE;1;Salle Au Pitiri;661.0;555.0;106;2;1;552;166;386
KONE;2;Poindah;164.0;140.0;24;1;0;139;104;35
KONE;3;Netchaot;395.0;344.0;51;6;3;335;301;34
KONE;12;Les Allamandas;376.0;337.0;39;6;2;329;99;230
KOUMAC;1;Mairie 1 et centralisateur;1162.0;1053.0;109;9;16;1028;481;547
KOUMAC;2;École primaire Charles Mermoud 2;1498.0;1335.0;163;14;10;1311;372;939
