tour,date_scrutin,page,commune_code,commune_code_court,commune,nuance,numero_liste_municipale,tete_liste,voix,pct_inscrits,pct_exprimes,sieges,liste_municipale,source_pdf,source_url,tour_retenu,total_sieges_commune
2,2026-03-22,9,98812,12,Koumac,LDVD,1,Wilfrid WEISS,782,24.92,35.84,5,POUR LE PROGRES COMMUNAL,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf,2,27
2,2026-03-22,9,98812,12,Koumac,LREG,3,Josée KONDOLO,193,6.15,8.85,1,UNION CALEDONIENNE,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf,2,27
2,2026-03-22,9,98812,12,Koumac,LDIV,4,Olivier BESANÇON,27,0.86,1.24,0,KOUMAC UNION CITOYENNE,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf,2,27
2,2026-03-22,9,98812,12,Koumac,LDIV,5,Antonio MARTIN,238,7.58,10.91,1,KOUMAC RENOUVEAU,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf,2,27
2,2026-03-22,9,98812,12,Koumac,LDIV,6,Yann GASTALDI,942,30.02,43.17,20,BATISSONS ENSEMBLE KOUMAC,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf,2,27
2,2026-03-22,10,98813,13,La Foa,,1,Florence ROLLAND,1149,32.99,43.18,5,L'UNION POUR LA FOA,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf,2,23
2,2026-03-22,10,98813,13,La Foa,,4,Stevens KAOUDA,1512,43.41,56.82,18,OSONS LA FOA,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf,2,23
1,2026-03-15,14,98814,14,Lifou,LREG,1,Rene KAUDRE,984,9.02,17.43,2,Unité nationaliste Drehu - Toka,data/elections/data_raw/municipales_2026/municipales_2026_t1_resultats_988_0135.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13122/109633/file/Municipales%2B2026%2B-%2BR%C3%A9sultats%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-17_01h35.pdf,1,29
1,2026-03-15,14,98814,14,Lifou,LREG,2,Pierre Ijone QAEZE,3256,29.83,57.68,24,Union Citoyenne Nöje Drehu,data/elections/data_raw/municipales_2026/municipales_2026_t1_resultats_988_0135.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13122/109633/file/Municipales%2B2026%2B-%2BR%C3%A9sultats%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-17_01h35.pdf,1,29
1,2026-03-15,14,98814,14,Lifou,LREG,3,Pascal Hunemu TUPAISSI,1405,12.87,24.89,3,Drehu Uni,data/elections/data_raw/municipales_2026/municipales_2026_t1_resultats_988_0135.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13122/109633/file/Municipales%2B2026%2B-%2BR%C3%A9sultats%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-17_01h35.pdf,1,29
